Call  Failure,Complains,Subscription_Length,Charge  Amount,Seconds_of_Use,Frequency_of_Use,Frequency_of_SMS,Distinct_Called_Numbers,Status,Age,Customer_Value,Churn,AHT,FCR,Sentiment_Score,Transfer_Count,SLA_Compliance,Callback_Count,Usage_per_Sub_Day,SLA_Target,Service_Gap,Complexity_Score,Tariff_1,Tariff_2,Age_Group_Numeric
2,0,38,0,710,14,13,8,2,30,80.96,0,182,1,2,1,0.73,1,18.68421052631579,0.95,0.21999999999999997,0.8,True,False,35
0,0,37,0,0,0,0,0,2,25,0.0,1,359,1,5,0,0.74,0,0.0,0.95,0.20999999999999996,0.0,True,False,25
3,0,37,0,7508,127,384,43,1,25,2071.575,0,262,1,5,2,0.82,2,202.9189189189189,0.95,0.13,1.6,True,False,25
7,0,37,1,11465,154,11,47,1,45,317.975,0,275,1,2,3,0.9,0,309.86486486486484,0.95,0.04999999999999993,1.5,True,False,45
8,0,37,1,6718,75,108,37,1,25,791.685,0,242,0,4,0,0.88,2,181.56756756756758,0.95,0.06999999999999995,0.6,True,False,25
23,1,33,0,955,47,16,17,2,25,117.09,1,195,0,4,1,0.72,1,28.939393939393938,0.95,0.22999999999999998,0.8,True,False,25
21,1,36,8,10435,93,1,42,1,55,159.42,0,381,1,4,3,0.99,1,289.8611111111111,0.95,-0.040000000000000036,1.8,False,True,55
13,1,36,1,5818,98,26,24,1,25,383.22,1,345,0,1,0,0.79,1,161.61111111111111,0.95,0.15999999999999992,0.3,True,False,25
1,0,34,0,2840,22,0,14,1,30,114.48,0,310,1,1,3,0.81,1,83.52941176470588,0.95,0.1399999999999999,1.8,True,False,35
9,0,35,0,2990,41,9,16,2,30,157.24,1,250,0,2,3,0.89,0,85.42857142857143,0.95,0.05999999999999994,1.5,True,False,35
9,1,36,0,2268,44,34,31,2,30,228.48,1,355,1,1,0,0.98,1,63.0,0.95,-0.030000000000000027,0.3,True,False,35
0,0,36,0,133,2,0,2,2,30,5.4,1,286,1,2,0,0.9,1,3.6944444444444446,0.95,0.04999999999999993,0.3,True,False,35
1,0,36,0,1668,25,0,6,1,30,67.72,0,260,0,4,2,0.99,2,46.333333333333336,0.95,-0.040000000000000036,1.6,True,False,35
3,0,33,1,6785,97,14,22,1,55,124.23,0,262,0,3,0,0.76,1,205.6060606060606,0.95,0.18999999999999995,0.3,True,False,55
0,1,36,0,628,7,9,4,2,45,38.375,1,206,1,2,2,0.89,2,17.444444444444443,0.95,0.05999999999999994,1.6,True,False,45
0,0,36,1,338,4,4,2,1,55,11.13,0,173,0,1,0,0.95,0,9.38888888888889,0.95,0.0,0.0,True,False,55
25,0,31,3,16075,238,0,80,1,25,734.085,0,288,1,2,2,0.85,0,518.5483870967741,0.95,0.09999999999999998,1.0,False,True,25
6,0,34,3,6965,116,271,33,1,25,1538.145,0,371,1,3,1,0.81,0,204.85294117647058,0.95,0.1399999999999999,0.5,False,True,25
2,0,36,0,3718,82,2,28,1,25,180.0,0,165,0,4,2,1.0,2,103.27777777777777,0.95,-0.050000000000000044,1.6,True,False,25
3,0,35,0,1665,44,38,20,2,30,220.36,0,364,1,2,3,0.74,0,47.57142857142857,0.95,0.20999999999999996,1.5,True,False,35
6,0,36,0,2780,53,175,23,1,25,914.985,0,356,1,2,1,0.82,0,77.22222222222223,0.95,0.13,0.5,True,False,25
4,0,27,1,1315,36,193,11,1,25,929.295,0,219,1,3,2,0.96,2,48.7037037037037,0.95,-0.010000000000000009,1.6,False,True,25
4,0,26,0,1568,39,30,68,1,45,115.175,0,307,1,1,2,0.97,1,60.30769230769231,0.95,-0.020000000000000018,1.3,True,False,45
11,0,27,0,700,25,10,7,2,25,77.625,0,191,0,2,3,0.99,1,25.925925925925927,0.95,-0.040000000000000036,1.8,True,False,25
0,0,26,0,825,10,21,3,2,45,73.375,1,339,0,1,0,0.97,2,31.73076923076923,0.95,-0.020000000000000018,0.6,True,False,45
10,0,25,0,1225,32,19,13,1,25,142.065,0,325,1,3,0,0.72,2,49.0,0.95,0.22999999999999998,0.6,True,False,25
2,0,25,0,3225,61,8,23,1,30,163.44,0,238,1,3,1,0.98,2,129.0,0.95,-0.030000000000000027,1.1,True,False,35
2,0,18,0,1695,26,28,14,1,25,203.445,0,166,0,3,2,0.83,1,94.16666666666667,0.95,0.12,1.3,True,False,25
16,0,17,1,6393,141,85,42,1,25,676.53,0,392,0,4,3,0.9,1,376.05882352941177,0.95,0.04999999999999993,1.8,False,True,25
12,0,15,0,8933,171,73,40,1,45,410.1,0,261,1,2,1,0.82,0,595.5333333333333,0.95,0.13,0.5,True,False,45
8,0,16,3,2853,45,31,19,1,30,239.92,0,373,1,5,0,0.94,1,178.3125,0.95,0.010000000000000009,0.3,False,True,35
2,0,9,1,4390,40,215,10,1,30,1037.2,0,319,0,5,2,0.87,2,487.77777777777777,0.95,0.07999999999999996,1.6,True,False,35
3,0,9,1,1488,19,0,7,1,30,60.28,1,344,1,1,2,0.95,0,165.33333333333334,0.95,0.0,1.0,True,False,35
11,0,40,1,4430,74,10,19,1,30,220.16,0,339,1,5,1,0.76,2,110.75,0.95,0.18999999999999995,1.1,True,False,35
3,0,41,1,378,8,12,6,1,30,63.44,0,198,1,1,0,0.76,0,9.21951219512195,0.95,0.18999999999999995,0.0,True,False,35
13,0,39,1,2513,63,364,26,1,30,1559.04,0,240,0,2,3,0.83,0,64.43589743589743,0.95,0.12,1.5,True,False,35
13,0,40,1,4258,69,6,37,1,15,270.985,0,266,0,3,3,0.7,1,106.45,0.95,0.25,1.8,True,False,18
6,0,40,1,2453,61,7,35,1,25,144.63,0,274,1,1,2,0.91,0,61.325,0.95,0.039999999999999925,1.0,True,False,25
14,0,40,2,3835,85,37,30,1,30,304.8,0,160,1,2,2,0.79,2,95.875,0.95,0.15999999999999992,1.6,False,True,35
7,0,40,1,2420,42,290,20,1,30,1258.48,0,286,1,1,1,0.87,1,60.5,0.95,0.07999999999999996,0.8,True,False,35
16,0,39,3,9175,124,149,45,1,30,967.96,0,188,1,3,1,0.72,1,235.25641025641025,0.95,0.22999999999999998,0.8,True,False,35
10,0,40,1,13833,172,5,46,1,30,580.2,0,335,1,5,0,0.75,1,345.825,0.95,0.19999999999999996,0.3,True,False,35
10,0,40,2,4575,86,7,27,1,30,214.44,0,320,1,5,0,0.89,0,114.375,0.95,0.05999999999999994,0.0,True,False,35
9,0,40,1,5978,98,12,14,1,30,291.04,0,380,1,2,1,0.79,2,149.45,0.95,0.15999999999999992,1.1,True,False,35
12,0,40,1,2298,57,13,19,1,30,146.2,0,336,1,3,1,0.76,2,57.45,0.95,0.18999999999999995,1.1,True,False,35
28,0,40,4,15200,228,59,34,1,30,853.12,0,241,1,3,0,0.77,0,380.0,0.95,0.17999999999999994,0.0,True,False,35
7,0,40,2,3155,30,488,10,1,30,2079.4,0,391,0,3,3,0.76,0,78.875,0.95,0.18999999999999995,1.5,True,False,35
12,0,39,1,15545,185,155,32,1,25,1405.35,0,252,1,4,1,0.89,0,398.5897435897436,0.95,0.05999999999999994,0.5,True,False,25
6,0,39,2,6560,89,191,28,1,30,1029.96,0,231,1,5,2,0.75,0,168.2051282051282,0.95,0.19999999999999996,1.0,True,False,35
3,0,39,1,935,17,5,13,1,25,65.34,0,376,0,3,1,0.81,1,23.974358974358974,0.95,0.1399999999999999,0.8,True,False,25
5,0,40,1,770,17,18,10,1,30,103.48,0,242,1,1,1,0.91,2,19.25,0.95,0.039999999999999925,1.1,True,False,35
3,1,39,1,60,3,5,2,1,25,25.335,1,169,0,5,3,0.85,1,1.5384615384615385,0.95,0.09999999999999998,1.8,True,False,25
6,0,39,1,7568,130,389,45,1,30,1863.92,0,267,0,5,2,0.88,0,194.05128205128204,0.95,0.06999999999999995,1.0,True,False,35
10,0,39,2,11525,157,16,49,1,45,332.05,0,348,1,2,3,0.78,0,295.5128205128205,0.95,0.16999999999999993,1.5,False,True,45
11,0,39,2,6778,78,113,39,1,25,817.02,0,197,0,3,1,0.98,1,173.7948717948718,0.95,-0.030000000000000027,0.8,True,False,25
26,1,35,1,1015,50,21,19,1,30,126.6,1,265,1,5,1,0.82,0,29.0,0.95,0.13,0.5,True,False,35
24,1,38,9,10495,96,6,44,1,55,167.865,0,182,1,3,1,0.79,1,276.1842105263158,0.95,0.15999999999999992,0.8,False,True,55
16,0,38,2,5878,101,31,26,1,25,408.555,0,321,1,3,2,0.97,0,154.68421052631578,0.95,-0.020000000000000018,1.0,True,False,25
4,0,36,1,2900,25,5,16,1,30,137.0,0,268,0,5,1,0.9,0,80.55555555555556,0.95,0.04999999999999993,0.5,True,False,35
12,0,37,1,3050,44,14,18,1,30,179.76,1,232,0,5,1,0.88,1,82.43243243243244,0.95,0.06999999999999995,0.8,True,False,35
12,1,38,1,2328,47,39,33,1,30,251.0,1,206,0,3,0,0.97,0,61.26315789473684,0.95,-0.020000000000000018,0.0,True,False,35
3,0,38,1,193,5,5,4,1,30,27.92,1,291,0,1,2,0.72,1,5.078947368421052,0.95,0.22999999999999998,1.3,True,False,35
4,0,38,1,1728,28,5,8,1,45,56.4,0,317,1,3,2,0.95,0,45.473684210526315,0.95,0.0,1.0,True,False,45
6,0,35,2,6845,100,19,24,1,55,132.675,0,385,1,4,2,0.9,0,195.57142857142858,0.95,0.04999999999999993,1.0,True,False,55
3,0,38,1,688,10,14,6,1,45,52.45,1,259,0,2,3,0.81,1,18.105263157894736,0.95,0.1399999999999999,1.8,True,False,45
3,0,38,2,398,7,9,4,1,55,19.575,0,190,1,3,3,0.78,0,10.473684210526315,0.95,0.16999999999999993,1.5,True,False,55
28,0,33,4,16135,241,5,82,1,25,759.42,0,358,1,4,3,0.73,2,488.93939393939394,0.95,0.21999999999999997,2.1,True,False,25
9,1,36,4,7025,119,276,35,1,30,1389.76,0,307,0,1,0,0.98,2,195.13888888888889,0.95,-0.030000000000000027,0.6,False,True,35
5,0,38,1,3778,85,7,30,1,30,182.52,0,325,0,3,3,0.74,1,99.42105263157895,0.95,0.20999999999999996,1.8,True,False,35
6,0,37,1,1725,47,43,22,1,30,242.88,0,174,1,4,1,0.78,0,46.62162162162162,0.95,0.16999999999999993,0.5,True,False,35
9,0,38,1,2840,56,180,25,1,25,940.32,0,228,1,2,1,0.91,1,74.73684210526316,0.95,0.039999999999999925,0.8,True,False,25
7,0,29,2,1375,39,198,13,1,30,848.56,0,341,0,3,1,0.91,1,47.41379310344828,0.95,0.039999999999999925,0.8,False,True,35
7,0,28,1,1628,42,35,70,1,45,129.25,0,358,1,4,1,0.75,1,58.142857142857146,0.95,0.19999999999999996,0.8,True,False,45
14,0,29,1,760,28,15,9,1,30,91.52,0,258,1,1,3,0.94,2,26.20689655172414,0.95,0.010000000000000009,2.1,True,False,35
3,0,28,1,885,13,26,5,1,45,87.45,0,351,1,4,2,0.85,2,31.607142857142858,0.95,0.09999999999999998,1.6,True,False,45
13,0,27,1,1285,35,24,15,1,25,167.4,0,360,0,2,3,0.95,1,47.592592592592595,0.95,0.0,1.8,True,False,25
5,0,27,1,3285,64,13,25,1,30,185.96,0,246,0,2,3,0.73,0,121.66666666666667,0.95,0.21999999999999997,1.5,True,False,35
5,0,20,1,1755,29,33,16,1,25,228.78,0,374,1,4,1,0.71,0,87.75,0.95,0.24,0.5,True,False,25
19,0,19,2,6453,144,90,44,1,25,701.865,0,222,1,1,2,0.89,2,339.63157894736844,0.95,0.05999999999999994,1.6,False,True,25
15,0,17,1,8993,174,78,42,1,55,254.505,0,209,1,1,2,0.75,1,529.0,0.95,0.19999999999999996,1.3,True,False,55
11,0,18,4,2913,48,36,21,1,30,262.44,0,320,1,3,1,0.86,0,161.83333333333334,0.95,0.08999999999999997,0.5,True,False,35
5,0,11,2,4450,43,220,12,1,30,1059.72,0,309,0,5,2,0.7,1,404.54545454545456,0.95,0.25,1.3,True,False,35
6,1,11,2,1548,22,5,9,1,30,82.8,1,184,1,1,2,0.93,2,140.72727272727272,0.95,0.019999999999999907,1.6,True,False,35
5,0,36,0,4310,68,0,15,1,25,197.01,0,358,1,4,3,0.97,1,119.72222222222223,0.95,-0.020000000000000018,1.8,True,False,25
0,0,37,0,258,2,2,2,2,25,20.7,0,199,1,1,3,0.95,0,6.972972972972973,0.95,0.0,1.5,True,False,25
7,0,35,0,2393,57,354,22,1,25,1703.25,0,351,1,3,2,0.99,2,68.37142857142857,0.95,-0.040000000000000036,1.6,True,False,25
7,0,36,0,4138,63,0,33,1,15,231.055,0,151,1,3,3,0.97,0,114.94444444444444,0.95,-0.020000000000000018,1.5,True,False,18
0,0,36,0,2333,55,0,31,1,15,131.34,0,349,1,3,0,0.83,2,64.80555555555556,0.95,0.12,0.6,True,False,18
8,0,36,0,3715,79,27,26,1,30,259.76,0,346,1,1,3,0.82,1,103.19444444444444,0.95,0.13,1.8,True,False,35
1,0,36,0,2300,36,280,16,1,30,1213.44,0,345,1,4,1,0.97,0,63.888888888888886,0.95,-0.020000000000000018,0.5,True,False,35
10,0,35,1,9055,118,139,41,1,30,922.92,0,316,1,2,1,0.98,0,258.7142857142857,0.95,-0.030000000000000027,0.5,True,False,35
4,0,36,0,13713,166,0,42,1,30,555.16,0,267,0,4,3,0.99,2,380.9166666666667,0.95,-0.040000000000000036,2.1,True,False,35
4,0,36,0,4455,80,0,23,1,30,181.4,0,326,0,4,1,0.93,2,123.75,0.95,0.019999999999999907,1.1,True,False,35
3,0,36,0,5858,92,2,10,1,25,276.75,0,219,0,3,3,0.76,0,162.72222222222223,0.95,0.18999999999999995,1.5,True,False,25
6,1,36,0,2178,51,3,15,2,30,101.16,0,345,1,2,1,0.98,1,60.5,0.95,-0.030000000000000027,0.8,True,False,35
22,0,36,2,15080,222,49,30,1,30,808.08,0,288,1,4,1,0.98,2,418.8888888888889,0.95,-0.030000000000000027,1.1,True,False,35
1,0,36,0,3035,24,478,6,1,30,2034.36,0,264,1,5,1,0.9,2,84.30555555555556,0.95,0.04999999999999993,1.1,True,False,35
6,0,35,0,15425,179,145,28,1,25,1354.68,0,276,1,5,1,0.96,2,440.7142857142857,0.95,-0.010000000000000009,1.1,True,False,25
0,0,35,0,6440,83,181,24,1,30,984.92,0,292,1,5,3,0.87,0,184.0,0.95,0.07999999999999996,1.5,True,False,35
0,0,35,0,815,11,0,9,2,25,37.17,0,159,1,2,0,0.98,1,23.285714285714285,0.95,-0.030000000000000027,0.3,True,False,25
0,0,36,0,650,11,8,6,2,25,65.745,0,184,0,3,2,0.73,2,18.055555555555557,0.95,0.21999999999999997,1.6,True,False,25
0,0,35,0,0,0,0,0,2,25,0.0,1,211,1,2,3,0.96,0,0.0,0.95,-0.010000000000000009,1.5,True,False,25
0,0,35,0,7448,124,379,41,1,25,2046.24,0,178,1,5,1,0.72,0,212.8,0.95,0.22999999999999998,0.5,True,False,25
4,0,35,0,11405,151,6,45,1,30,486.24,0,259,1,5,2,0.8,2,325.85714285714283,0.95,0.1499999999999999,1.6,True,False,35
5,0,35,0,6658,72,103,35,1,25,766.35,0,317,0,5,1,0.74,2,190.22857142857143,0.95,0.20999999999999996,1.1,True,False,25
20,0,31,0,895,44,11,15,2,25,91.755,1,313,1,1,0,0.84,0,28.870967741935484,0.95,0.10999999999999999,0.0,True,False,25
18,0,34,7,10375,90,0,40,1,45,261.625,0,267,1,2,2,0.77,2,305.1470588235294,0.95,0.17999999999999994,1.6,True,False,45
10,0,34,0,5758,95,21,22,1,25,357.885,1,363,1,4,3,0.99,1,169.35294117647058,0.95,-0.040000000000000036,1.8,True,False,25
0,0,32,0,2780,19,0,12,1,30,111.96,0,291,1,4,2,0.87,1,86.875,0.95,0.07999999999999996,1.3,True,False,35
6,0,33,0,2930,38,4,14,2,25,151.56,1,169,1,2,1,0.97,1,88.78787878787878,0.95,-0.020000000000000018,0.8,True,False,25
6,1,34,0,2208,41,29,29,2,30,205.96,1,341,1,1,0,0.78,2,64.94117647058823,0.95,0.16999999999999993,0.6,True,False,35
0,1,34,0,0,0,0,0,2,30,0.0,1,293,1,1,3,0.71,1,0.0,0.95,0.24,1.8,True,False,35
0,0,34,0,1608,22,0,4,1,30,65.2,0,308,1,4,3,0.93,1,47.294117647058826,0.95,0.019999999999999907,1.8,True,False,35
0,0,31,0,6725,94,9,20,1,45,192.975,0,291,1,3,3,0.91,2,216.93548387096774,0.95,0.039999999999999925,2.1,True,False,45
0,0,34,0,568,4,4,2,2,45,24.3,1,288,0,3,1,0.86,1,16.705882352941178,0.95,0.08999999999999997,0.8,True,False,45
0,0,34,0,0,0,0,0,1,55,0.0,0,172,1,5,2,0.94,2,0.0,0.95,0.010000000000000009,1.6,True,False,55
22,0,29,2,16015,235,0,78,1,25,731.25,0,289,1,1,1,0.95,0,552.2413793103449,0.95,0.0,0.5,True,False,25
3,0,32,2,6905,113,266,31,1,25,1512.81,0,348,0,4,0,0.88,2,215.78125,0.95,0.06999999999999995,0.6,False,True,25
0,0,34,0,3658,79,0,26,1,25,168.165,0,225,1,2,0,0.99,2,107.58823529411765,0.95,-0.040000000000000036,0.6,True,False,25
0,0,33,0,1605,41,33,18,2,30,197.84,0,300,1,5,1,0.92,2,48.63636363636363,0.95,0.029999999999999916,1.1,True,False,35
3,0,34,0,2720,50,170,21,1,25,889.65,0,157,1,5,2,0.9,1,80.0,0.95,0.04999999999999993,1.3,True,False,25
1,0,25,0,1255,33,188,9,1,25,903.96,0,236,1,3,0,0.81,1,50.2,0.95,0.1399999999999999,0.3,False,True,25
1,0,24,0,1508,36,25,66,1,45,101.1,0,259,1,2,2,0.7,0,62.833333333333336,0.95,0.25,1.0,True,False,45
8,0,25,0,640,22,5,5,2,25,52.29,0,395,1,2,1,0.77,2,25.6,0.95,0.17999999999999994,1.1,True,False,25
0,1,24,0,765,7,16,1,2,45,59.3,1,203,1,1,3,0.93,2,31.875,0.95,0.019999999999999907,2.1,True,False,45
7,0,23,0,1165,29,14,11,1,25,116.73,0,219,1,5,1,0.91,0,50.65217391304348,0.95,0.039999999999999925,0.5,True,False,25
0,0,23,0,3165,58,3,21,1,30,140.92,0,252,1,1,0,0.8,0,137.6086956521739,0.95,0.1499999999999999,0.0,True,False,35
0,0,16,0,1635,23,23,12,1,25,178.11,0,398,1,3,1,0.89,2,102.1875,0.95,0.05999999999999994,1.1,True,False,25
13,0,15,0,6333,138,80,40,1,15,795.905,0,363,0,3,3,0.76,2,422.2,0.95,0.18999999999999995,2.1,False,True,18
9,0,13,0,8873,168,68,38,1,45,396.025,0,158,0,4,1,0.78,1,682.5384615384615,0.95,0.16999999999999993,0.8,True,False,45
5,0,14,2,2793,42,26,17,1,30,217.4,0,208,1,5,2,0.98,0,199.5,0.95,-0.030000000000000027,1.0,True,False,35
0,0,7,0,4330,37,210,8,1,30,1014.68,0,355,1,3,3,0.82,2,618.5714285714286,0.95,0.13,2.1,True,False,35
0,0,7,0,1428,16,0,5,1,30,57.76,1,164,1,4,1,0.77,1,204.0,0.95,0.17999999999999994,0.8,True,False,35
9,0,42,1,4450,73,15,21,1,30,240.92,0,363,0,3,2,0.85,2,105.95238095238095,0.95,0.09999999999999998,1.6,True,False,35
1,1,43,0,398,7,17,8,2,30,84.2,1,220,1,3,0,0.82,2,9.255813953488373,0.95,0.13,0.6,True,False,35
11,0,41,1,2533,62,369,28,1,30,1579.8,0,379,1,1,1,0.92,1,61.78048780487805,0.95,0.029999999999999916,0.8,True,False,35
11,0,42,1,4278,68,11,39,1,15,299.53,0,223,0,2,1,0.99,0,101.85714285714286,0.95,-0.040000000000000036,0.5,True,False,18
4,0,42,1,2473,60,12,37,1,25,167.985,0,258,1,3,2,0.88,2,58.88095238095238,0.95,0.06999999999999995,1.6,True,False,25
12,0,42,2,3855,84,42,32,1,30,325.56,0,315,1,1,3,0.88,2,91.78571428571429,0.95,0.06999999999999995,2.1,True,False,35
5,0,42,1,2440,41,295,22,1,30,1279.24,0,181,0,2,1,0.81,2,58.095238095238095,0.95,0.1399999999999999,1.1,True,False,35
14,0,41,3,9195,123,154,47,1,30,988.72,0,289,1,3,1,0.87,1,224.26829268292684,0.95,0.07999999999999996,0.8,True,False,35
8,0,42,1,13853,171,10,48,1,30,600.96,0,276,0,3,3,0.8,2,329.8333333333333,0.95,0.1499999999999999,2.1,True,False,35
8,0,42,2,4595,85,12,29,1,30,235.2,0,345,1,5,1,0.7,2,109.4047619047619,0.95,0.25,1.1,True,False,35
7,0,42,1,5998,97,17,16,1,30,311.8,0,399,1,5,2,0.96,0,142.8095238095238,0.95,-0.010000000000000009,1.0,True,False,35
10,0,42,0,2318,56,18,21,2,30,166.96,0,316,1,4,2,0.83,0,55.19047619047619,0.95,0.12,1.0,True,False,35
26,0,42,4,15220,227,64,36,1,30,873.88,0,252,0,1,0,0.85,0,362.3809523809524,0.95,0.09999999999999998,0.0,False,True,35
5,0,42,2,3175,29,493,12,1,30,2100.16,0,251,1,3,3,0.73,2,75.5952380952381,0.95,0.21999999999999997,2.1,True,False,35
10,0,41,1,15565,184,160,34,1,25,1428.705,0,254,1,4,1,0.95,0,379.6341463414634,0.95,0.0,0.5,True,False,25
4,0,41,2,6580,88,196,30,1,30,1050.72,0,353,0,3,2,0.75,1,160.4878048780488,0.95,0.19999999999999996,1.3,True,False,35
1,0,41,0,955,16,10,15,2,25,88.695,0,230,0,3,1,0.82,2,23.29268292682927,0.95,0.13,1.1,True,False,25
3,0,42,0,790,16,23,12,2,30,124.24,0,191,0,3,3,0.95,1,18.80952380952381,0.95,0.0,1.8,True,False,35
1,0,41,0,80,2,10,4,2,25,48.69,1,233,1,3,2,0.84,0,1.951219512195122,0.95,0.10999999999999999,1.0,True,False,25
4,0,41,1,7588,129,394,47,1,30,1884.68,0,155,1,3,0,0.98,1,185.0731707317073,0.95,-0.030000000000000027,0.3,True,False,35
8,0,41,2,11545,156,21,51,1,45,345.025,0,176,1,1,0,0.76,0,281.5853658536585,0.95,0.18999999999999995,0.0,True,False,45
9,0,41,2,6798,77,118,41,1,25,840.375,0,172,1,3,3,0.91,1,165.8048780487805,0.95,0.039999999999999925,1.8,True,False,25
24,1,37,0,1035,49,26,21,2,30,147.36,1,342,1,2,2,0.99,2,27.972972972972972,0.95,-0.040000000000000036,1.6,True,False,35
22,1,40,9,10515,95,11,46,1,55,175.65,0,330,1,4,1,0.86,1,262.875,0.95,0.08999999999999997,0.8,True,False,55
14,0,40,2,5898,100,36,28,1,25,431.91,1,324,1,5,0,0.91,2,147.45,0.95,0.039999999999999925,0.6,True,False,25
2,0,38,1,2920,24,10,18,1,30,157.76,0,265,1,3,0,0.82,0,76.84210526315789,0.95,0.13,0.0,True,False,35
10,0,39,0,3070,43,19,20,2,30,200.52,1,329,0,2,3,0.93,2,78.71794871794872,0.95,0.019999999999999907,2.1,True,False,35
10,1,40,0,2348,46,44,35,2,30,271.76,1,190,1,5,3,0.97,1,58.7,0.95,-0.020000000000000018,1.8,True,False,35
1,0,40,0,213,4,10,6,2,30,48.68,1,375,1,4,1,0.91,0,5.325,0.95,0.039999999999999925,0.5,True,False,35
2,0,40,1,1748,27,10,10,1,45,69.375,0,275,1,3,0,0.98,1,43.7,0.95,-0.030000000000000027,0.3,True,False,45
4,0,37,2,6865,99,24,26,1,55,140.46,0,384,1,1,1,0.88,0,185.54054054054055,0.95,0.06999999999999995,0.5,True,False,55
1,1,40,0,708,9,19,8,2,45,65.425,1,188,0,1,0,0.87,1,17.7,0.95,0.07999999999999996,0.3,True,False,45
1,0,40,2,418,6,14,6,1,55,27.36,0,274,1,2,2,0.79,1,10.45,0.95,0.15999999999999992,1.3,True,False,55
26,0,35,4,16155,240,10,84,1,25,782.775,0,324,1,2,2,0.91,0,461.57142857142856,0.95,0.039999999999999925,1.0,True,False,25
7,1,38,4,7045,118,281,37,1,25,1586.835,0,273,1,4,3,0.96,2,185.39473684210526,0.95,-0.010000000000000009,2.1,False,True,25
3,0,40,1,3798,84,12,32,1,30,203.28,0,261,1,3,1,0.89,1,94.95,0.95,0.05999999999999994,0.8,True,False,35
4,0,39,0,1745,46,48,24,2,30,263.64,0,191,0,5,0,0.77,0,44.743589743589745,0.95,0.17999999999999994,0.0,True,False,35
7,0,40,1,2860,55,185,27,1,25,963.675,0,245,0,3,0,0.86,1,71.5,0.95,0.08999999999999997,0.3,True,False,25
5,0,31,2,1395,38,203,15,1,25,977.985,0,209,0,5,1,0.93,2,45.0,0.95,0.019999999999999907,1.1,False,True,25
5,0,30,1,1648,41,40,72,1,45,142.225,0,225,0,3,2,0.98,2,54.93333333333333,0.95,-0.030000000000000027,1.6,True,False,45
12,0,31,0,780,27,20,11,2,30,112.28,0,320,0,2,0,0.75,1,25.161290322580644,0.95,0.19999999999999996,0.3,True,False,35
1,0,30,0,905,12,31,7,2,45,100.425,0,307,1,4,3,0.74,2,30.166666666666668,0.95,0.20999999999999996,2.1,True,False,45
11,0,29,1,1305,34,29,17,1,25,190.755,0,301,0,3,1,0.82,0,45.0,0.95,0.13,0.5,True,False,25
